Species,Sambaquis,Colonial,Present,All_periods
Pseudocarcharias_kamoharai,0,0,1,0
Pseudopercis_numida,0,0,1,0
Pseudopercis_semifasciata,0,0,1,0
Pseudopercis_sp.,1,0,0,0
Pseudorca_crassidens,1,0,0,0
Rachycentron_canadum,0,1,1,0
Rachycentron_sp.,0,1,0,0
Remora_remora,0,1,1,0
Rhinoptera_bonasus,1,0,0,0
Rhinoptera_brasiliensis,1,0,0,0
Rhinoptera_sp.,1,0,0,0
Rhizoprionodon_lalandii,1,0,0,0
Rhizoprionodon_porosus,1,0,0,0
Rhizoprionodon_sp.,1,0,1,0
Rhizoprionodon_terraenovae,0,1,0,0
Ruvettus_pretiosus,0,0,1,0
Rypticus_subbifrenatus,0,0,1,0
Sarda_sarda,0,0,1,0
Sardinella_aurita,0,0,1,0
Sardinella_brasiliensis,0,0,1,0
Sardinella_sp.,0,1,0,0
Sargocentron_sp.,1,0,0,0
Scarus_sp.,1,1,1,1
Sciades_herzbergii,0,0,1,0
Scomber_colias,0,0,1,0
Scomber_sp.,0,1,0,0
Scomberomorus_brasiliensis,1,1,1,1
Scomberomorus_cavalla,0,1,1,0
Scomberomorus_sp.,1,1,1,1
Scorpaena_sp.,0,0,1,0
Selar_crumenophthalmus,1,0,1,0
Selene_setapinnis,0,1,1,0
Selene_sp.,0,1,1,0
Selene_vomer,1,1,1,1
Seriola_dumerili,1,0,1,0
Seriola_fasciata,0,0,1,0
Seriola_lalandi,0,1,1,0
Seriola_sp.,0,1,1,0
Sotalia_guianensis,1,0,0,0
Sparisoma_sp.,1,0,0,0
Sphoeroides_sp.,1,0,1,0
Sphoeroides_spengleri,1,0,0,0
Sphoeroides_testudineus,1,0,0,0
Sphyraena_barracuda,1,0,0,0
Sphyraena_guachancho,1,0,0,0
Sphyraena_sp.,1,1,1,1
Sphyrna_lewini,1,0,1,0
Sphyrna_mokarran,1,0,0,0
Sphyrna_sp.,1,1,1,1
Sphyrna_tiburo,1,0,0,0
Sphyrna_zygaena,1,1,1,1
Squalus_sp.,0,0,1,0
Squatina_sp.,1,0,1,0
Stellifer_brasiliensis,1,0,0,0
Stellifer_rastrifer,1,0,1,0
Stellifer_sp.,1,1,1,1
Stenella_frontalis,1,0,0,0
Stenella_sp.,1,0,0,0
Steno_bredanensis,1,0,0,0
Stephanolepis_hispidus,0,0,1,0
Stromateus_brasiliensis,0,0,1,0
Strongylura_sp.,1,1,1,1
Strongylura_timucu,0,1,0,0
Syacium_papillosum,0,1,1,0
Symphurus_plagusia,0,0,1,0
Sympterygia_acuta,0,0,1,0
Synodus_foetens,0,0,1,0
Tetrapturus_pfluegeri,0,0,1,0
Thalassophryne_nattereri,0,1,0,0
Thalassophryne_sp.,0,0,1,0
Thunnus_alalunga,0,1,1,0
Thunnus_albacares,0,1,1,0
Thunnus_atlanticus,0,0,1,0
Thunnus_obesus,0,0,1,0
Thunnus_sp.,0,1,1,0
Thunnus_thynnus,0,1,1,0
Thyrsitops_lepidopoides,0,0,1,0
Trachinotus_carolinus,0,1,1,0
Trachinotus_falcatus,1,0,1,0
Trachinotus_goodei,0,1,0,0
Trachinotus_marginatus,0,0,1,0
Trachinotus_sp.,1,1,1,1
Trachurus_lathami,1,0,1,0
Trachurus_sp.,0,0,1,0
Trichiurus lepturus,1,0,1,0
Tursiops_sp.,1,0,0,0
Tursiops_truncatus_geophyreus,1,0,0,0
Tursiops_truncatus_truncatus,1,0,0,0
Tylosurus_acus,0,0,1,0
Umbrina_canosai,1,0,1,0
Umbrina_coroides,1,0,1,0
Umbrina_sp.,1,0,0,0
Urophycis_brasiliensis,1,0,1,0
Urophycis_mystacea,1,1,1,1
Urophycis_sp.,0,0,1,0
Xiphias_gladius,1,1,1,1
Zenopsis_conchifer,0,0,1,0
Ziphius_cavirostris,0,1,0,0
