Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Carcharhinus_acronotus,1,0,0,0,Chondrichthyes,200,MCAR,3,SH,5,3,3,NA,LARGE,0,NT,0,NT,Deacreasing
Carcharhinus_altimus,1,0,0,0,Chondrichthyes,300,MCAR,2,SH-OFF,4,2,3,NA,LARGE,0,DD,0,NT,Deacreasing
Carcharhinus_brachyurus,1,0,0,0,Chondrichthyes,325,MCAR,2,SH-OFF,5,3,3,2,LARGE,0,DD,1,VU,Deacreasing
Carcharhinus_brevipinna,1,0,1,0,Chondrichthyes,300,MCAR,3,SH-OFF,3,2,3,3,LARGE,0,DD,1,VU,Deacreasing
Carcharhinus_falciformis,1,0,1,0,Chondrichthyes,350,MCAR,3,SH-OFF,3,2,3,1,LARGE,0,NT,1,VU,Deacreasing
Carcharhinus_isodon,1,0,0,0,Chondrichthyes,190,MCAR,1,SH,5,3,3,3,LARGE,0,RE,0,LC,Unknown
Carcharhinus_leucas,1,0,0,0,Chondrichthyes,360,MCAR,3,SH,3,2,3,3,LARGE,0,NT,0,NT,Unknown
Carcharhinus_limbatus,1,0,0,0,Chondrichthyes,275,MCAR,3,SH-OFF,4,2,3,3,LARGE,0,NT,0,NT,Unknown
Carcharhinus_longimanus,1,0,1,0,Chondrichthyes,400,MCAR,3,SH-OFF,2,1,3,1,LARGE,1,VU,1,CR,Deacreasing
Carcharhinus_obscurus,1,0,0,0,Chondrichthyes,420,MCAR,3,SH-OFF,4,2,3,3,LARGE,1,EN,1,EN,Deacreasing
Carcharhinus_perezii,1,0,0,0,Chondrichthyes,300,MCAR,3,SH-OFF,3,2,3,3,LARGE,1,VU,0,NT,Deacreasing
Carcharhinus_plumbeus,1,0,1,0,Chondrichthyes,180,MCAR,2,SH,2,1,3,3,LARGE,1,CR,1,VU,Deacreasing
Carcharhinus_porosus,1,0,0,0,Chondrichthyes,150,MCAR,1,SH,5,3,3,3,LARGE,1,CR,1,CR,Deacreasing
Carcharhinus_signatus,0,0,1,0,Chondrichthyes,280,MCAR,2,SH-OFF,1,1,3,3,LARGE,1,VU,1,VU,Deacreasing
Carcharhinus_sp.,1,0,1,0,Chondrichthyes,420,MCAR,3,SH-OFF,6,3,3,3,LARGE,0,NA,0,NA,NA
Carcharias_taurus,1,0,1,0,Chondrichthyes,330,MCAR,2,SH-OFF,4,2,3,1,LARGE,1,CR,1,VU,Unknown
Carcharodon_carcharias,1,0,0,0,Chondrichthyes,640,MCAR,3,SH-OFF,2,1,3,1,LARGE,1,VU,1,VU,Deacreasing
Cathorops_sp.,1,0,0,0,Osteichthyes,30,MCAR,1,SH,3,2,2,NA,MEDIUM,0,LC,0,NA,NA
Cathorops_spixii,1,0,1,0,Osteichthyes,30,MCAR,1,SH,3,2,2,NA,MEDIUM,0,LC,0,NE,NA
Caulolatilus_chrysops,1,0,1,0,Osteichthyes,60,INV,1,SH,3,2,2,2,LARGE,0,LC,0,LC,Unknown
Centropomus_ensiferus,1,1,1,1,Osteichthyes,36.2,MCAR,2,SH,3,2,3,2,MEDIUM,0,LC,0,LC,Unknown
Centropomus_parallelus,1,0,1,0,Osteichthyes,72,MCAR,1,SH,5,3,3,2,LARGE,0,LC,0,LC,Unknown
Centropomus_sp.,1,1,1,1,Osteichthyes,139,MCAR,2,SH,5,3,3,2,LARGE,0,LC,0,NA,NA
Centropomus_undecimalis,1,1,1,1,Osteichthyes,140,MCAR,2,SH,5,3,2,2,LARGE,0,LC,0,LC,Unknown
Cephalopholis_fulva,1,1,1,1,Osteichthyes,44,INV,1,SH,5,3,2,1,MEDIUM,0,LC,0,LC,Deacreasing
Cetengraulis_edentulus,0,0,1,0,Osteichthyes,18.2,PLANK,3,SH,4,2,3,3,MEDSMALL,0,LC,0,LC,Deacreasing
Cetengraulis_sp.,0,0,1,0,Osteichthyes,18.2,PLANK,3,SH,4,2,3,3,MEDSMALL,0,LC,0,LC,Deacreasing
Chaetodipterus_faber,1,1,1,1,Osteichthyes,91,INV,3,SH,7,4,3,3,LARGE,0,LC,0,LC,Unknown
Chaetodon_striatus,0,1,0,0,Osteichthyes,16,INV,2,SH,6,3,1,1,MEDSMALL,0,LC,0,LC,Stable
Chilomycterus_spinosus_spinosus,1,0,1,0,Osteichthyes,28,INV,1,SH,5,3,1,1,MEDIUM,0,LC,0,LC,Unknown
Chloroscombrus_chrysurus,1,0,1,0,Osteichthyes,65,PLANK,3,SH,5,3,3,3,LARGE,0,LC,0,LC,Stable
Conger_orbignianus,0,0,1,0,Osteichthyes,112,MCAR,1,SH,3,2,1,1,LARGE,0,DD,0,LC,Unknown
Conger_sp.,0,1,0,0,Osteichthyes,160,MCAR,1,SH,4,2,1,1,LARGE,0,DD,0,NA,NA
Conodon_nobilis,1,1,1,1,Osteichthyes,33.6,INV,2,SH,3,2,2,2,MEDIUM,0,LC,0,LC,Unknown
Conodon_sp.,1,0,0,0,Osteichthyes,33.6,INV,2,SH,3,2,2,2,MEDIUM,0,LC,0,LC,Unknown
Coryphaena_equiselis,0,1,0,0,Osteichthyes,146,PISC,3,SH-OFF,1,1,3,3,LARGE,0,LC,0,LC,Stable
Coryphaena_hippurus,1,1,1,1,Osteichthyes,210,MCAR,3,SH-OFF,1,1,3,2,LARGE,0,LC,0,LC,Stable
Coryphaena_sp.,1,0,0,0,Osteichthyes,210,MCAR,3,SH-OFF,1,1,3,2,LARGE,0,LC,0,LC,Stable
Cynoscion_acoupa,1,1,1,1,Osteichthyes,110,MCAR,1,SH,2,1,2,3,LARGE,0,NT,0,LC,Unknown
Cynoscion_guatucupa,1,1,1,1,Osteichthyes,50,MCAR,2,SH,2,1,2,3,MEDIUM,0,LC,0,NE,NA
Cynoscion_jamaicensis,1,0,1,0,Osteichthyes,50,MCAR,1,SH,2,1,2,3,MEDIUM,0,LC,0,LC,Stable
Cynoscion_leiarchus,1,0,1,0,Osteichthyes,90.8,MCAR,1,SH,2,1,2,3,LARGE,0,LC,0,LC,Stable
Cynoscion_microlepidotus,1,0,1,0,Osteichthyes,92,MCAR,1,SH,2,1,2,3,LARGE,0,LC,0,LC,Unknown
Cynoscion_sp.,1,1,1,1,Osteichthyes,110,MCAR,1,SH,2,1,2,3,LARGE,0,LC,0,NA,NA
Cynoscion_striatus,1,1,1,1,Osteichthyes,60,PISC,1,SH,2,1,2,3,LARGE,0,NA,0,NE,NA
Cynoscion_virescens,1,0,1,0,Osteichthyes,115,INV,1,SH,2,1,2,3,LARGE,0,LC,0,LC,Unknown
Dactylopterus_volitans,1,1,1,1,Osteichthyes,50,INV,1,SH,7,4,1,1,MEDIUM,0,LC,0,LC,Unknown
Dasyatis_centroura,1,0,1,0,Chondrichthyes,300,INV,1,SH-SL,5,3,2,1,LARGE,0,NA,1,VU,Deacreasing
Decapterus_macarellus,0,0,1,0,Osteichthyes,46,INV,3,SH-OFF,3,2,3,3,MEDIUM,0,LC,0,LC,Unknown
Delphinus_delphis,1,0,0,0,Cetacea,260,PISC,3,SH-OFF,2,1,3,3,LARGE,0,DD,0,LC,Unknown
Delphinus_sp.,1,0,0,0,Cetacea,260,PISC,3,SH-OFF,2,1,3,3,LARGE,0,DD,0,LC,Unknown
Dermatolepis_inermis,0,0,1,0,Osteichthyes,91,MCAR,2,SH,3,2,2,1,LARGE,0,DD,0,DD,Deacreasing
Diapterus_auratus,1,0,1,0,Osteichthyes,34,INV,2,SH,5,3,2,2,MEDIUM,0,LC,0,LC,Unknown
Diapterus_rhombeus,1,1,1,1,Osteichthyes,40,OMNI,1,SH,5,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Diapterus_sp.,0,0,1,0,Osteichthyes,40,INV,2,SH,5,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Diodon_holocanthus,0,0,1,0,Osteichthyes,50,INV,1,SH,5,3,2,1,MEDIUM,0,LC,0,LC,Unknown
Diodon_hystrix,1,0,1,0,Osteichthyes,91,INV,1,SH,2,1,2,1,LARGE,0,LC,0,LC,Unknown
Diodon_sp.,1,0,0,0,Osteichthyes,91,INV,1,SH,5,3,2,1,LARGE,0,LC,0,LC,Unknown
Diplectrum_formosum,0,0,1,0,Osteichthyes,30,INV,1,SH,7,4,2,1,MEDIUM,0,LC,0,LC,Unknown
Diplectrum_radiale,0,0,1,0,Osteichthyes,26,INV,1,SH,6,3,2,1,MEDIUM,0,LC,0,LC,Unknown
Diplectrum_sp.,0,0,1,0,Osteichthyes,30,INV,1,SH,7,4,2,1,MEDIUM,0,LC,0,LC,Unknown
Diplodus_argenteus,1,0,1,0,Osteichthyes,37.8,OMNI,2,SH,7,4,2,2,MEDIUM,0,LC,0,LC,Unknown
Diplodus_sp.,1,0,1,0,Osteichthyes,37.8,OMNI,2,SH,7,4,2,2,MEDIUM,0,LC,0,LC,Unknown
Dormitator_maculatus,1,0,0,0,Osteichthyes,70,OMNI,1,SH,2,1,1,1,LARGE,0,NT,0,LC,Stable
Echidna_sp.,0,1,0,0,Osteichthyes,165,MCAR,1,SH,3,2,1,1,LARGE,0,LC,0,LC,Unknown
Echinorhinus_brucus,0,0,1,0,Chondrichthyes,310,MCAR,1,SH-OFF,2,1,3,1,LARGE,0,LC,1,EN,Deacreasing
Eleotris_pisonis,1,1,0,0,Osteichthyes,25,INV,1,SH,2,1,1,1,MEDSMALL,0,LC,0,LC,Stable
Elops_saurus,1,1,1,1,Osteichthyes,100,MCAR,3,SH,5,3,3,3,LARGE,0,LC,0,LC,Stable
Engraulis_anchoita,0,0,1,0,Osteichthyes,17,PLANK,3,SH,1,1,3,3,MEDSMALL,0,LC,0,LC,Stable
Engraulis_sp.,0,0,1,0,Osteichthyes,17,PLANK,3,SH,1,1,3,3,MEDSMALL,0,LC,0,LC,Stable
Epinephelus_adscensionis,0,1,1,0,Osteichthyes,65,MCAR,1,SH,4,2,2,1,LARGE,0,DD,0,LC,Stable
Epinephelus_itajara,1,1,1,1,Osteichthyes,250,MCAR,1,SH,4,2,2,1,LARGE,1,CR,1,VU,Deacreasing
Epinephelus_marginatus,1,1,1,1,Osteichthyes,150,MCAR,1,SH,3,2,2,1,LARGE,1,VU,1,VU,Deacreasing
Epinephelus_morio,1,0,1,0,Osteichthyes,125,MCAR,1,SH,4,2,2,1,LARGE,1,VU,1,VU,Deacreasing
Epinephelus_sp.,1,1,1,1,Osteichthyes,250,MCAR,1,SH,7,4,2,1,LARGE,0,NA,0,NA,NA
Equetus_sp.,0,1,0,0,Osteichthyes,27,INV,2,SH,3,2,1,2,MEDIUM,0,NA,0,NA,NA
Eubalaena_australis,1,1,0,0,Cetacea,1700,PLANK,3,SH-OFF,2,1,3,3,LARGE,1,EN,0,LC,Unknown
Eucinostomus_melanopterus,0,0,1,0,Osteichthyes,30,INV,1,SH,6,3,2,2,MEDIUM,0,LC,0,LC,Unknown
Eucinostomus_sp.,0,1,1,0,Osteichthyes,30,INV,2,SH,6,3,2,3,MEDIUM,0,LC,0,LC,NA
Eugerres_brasilianus,1,0,1,0,Osteichthyes,50,INV,1,SH,4,2,2,3,MEDIUM,0,LC,0,LC,Stable
Eugerres_sp.,0,0,1,0,Osteichthyes,50,INV,1,SH,4,2,2,3,MEDIUM,0,LC,0,LC,Stable
Euthynnus_alletteratus,0,1,1,0,Osteichthyes,122,MCAR,3,SH-OFF,3,2,3,3,LARGE,0,LC,0,LC,Stable
Exocoetus_volitans,0,1,1,0,Osteichthyes,30,PLANK,3,SH-OFF,1,1,3,3,MEDIUM,0,LC,0,LC,Unknown
